Station Id,Name,Latitude,Longitude,Number of Bikes
7445,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,14
7446,Orchard Park,43.66908,-79.3149,6
7447,Trent Ave / Danforth Ave,43.689293,-79.295895,7
7448,Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,17
7449,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,7
7450,Carlaw Ave / Danforth Ave,43.678285,-79.347346,10
7451,Western Battery Rd / Pirandello St,43.640075,-79.414156,5
7452,Bleecker St / St James Ave,43.669232,-79.374495,9
7453,Jarvis St / Maitland Pl,43.6647688,-79.3772602,1
7454,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,12
7455,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,2
7457,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,15
7458,Church St / Lombard St,43.651678,-79.375233,16
7459,St Clair Ave W / Winona Dr,43.680466,-79.432522,5
7460,High Park Outdoor Pool,43.649217,-79.465319,20
7461,High Park Amphitheatre,43.645653,-79.464366,21
7462,Richmond St E / Yonge St,43.651838,-79.378743,12
7463,Adelaide St W / Brant St - SMART,43.64600446255825,-79.39877642209015,17
7465,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,0
7466,Glendonwynne Rd / Bloor St W,43.65182,-79.47421,15
7467,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,8
7468,Front St W / Simcoe St,43.6442,-79.38702,14
7469,Wellington St W / York St,43.646734,-79.38301,19
7471,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,13
7473,Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,7
7474,Clarence Square,43.64407,-79.3929,15
7475,Jarvis St / Richmond St E,43.652777,-79.372637,2
7476,Symington Ave / Dupont St,43.665538,-79.451263,5
7477,Antler St / Campbell Ave - SMART,43.664182,-79.449066,14
7478,Ellis Ave / The Queensway,43.63855,-79.46693,2
7479,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,7
7480,Neil McLellan Park,43.65143,-79.47779,2
7483,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,1
7484,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,2
7485,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,3
7486,Gerrard St E / Main St,43.684261,-79.299332,10
7487,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,10
7488,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,1
7489,Sumach St  / Queen St E,43.656638,-79.358749,0
7492,324 Cherry St,43.6482995,-79.3552533,13
7493,Sackville St / Eastern Ave - SMART,43.653809,-79.3595,5
7494,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,6
7496,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,17
7497,128 Sterling Rd - SMART,43.654004,-79.444792,10
7501,Humberside Grounds - SMART,43.65917,-79.46997,3
7502,University Ave / College St (East),43.65995,-79.38964,12
7503,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,5
7504,Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,2
7505,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,4
7506,Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,1
7508,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,16
7514,Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,19
7515,Amos Waites Park,43.613606,-79.4883535,6
7516,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,10
7517,Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,21
7518,Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,13
7519,406 Oakwood Ave,43.68827060022711,-79.43937767081853,11
7520,St Clarens Ave / Shirley St,43.6486599,-79.4376413,7
7521,Emerson Ave / Bloor St W,43.659055,-79.440764,9
7522,Wallace Ave / Pauline Ave,43.6632257,-79.4397052,4
7523,Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,4
7524,Lisgar Park,43.6423847,-79.4240277,4
7526,Bartlett Parkette,43.6702236,-79.4360232,7
7527,Joseph J Piccininni Community Centre,43.675648,-79.4527619,15
7528,Spadina Rd / Austin Terrace,43.67883,-79.408723,5
7529,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,1
